date,oro,plata,petroleo,gas_natural,indice_oro,indice_plata,indice_petroleo,indice_gas_natural,indice_general_mx,alimentos_bebidas_mx,vivienda_mx,educacion_mx,transporte_mx,indice_general_es,alimentos_bebidas_es,vivienda_es,educacion_es,transporte_es,sui_h_es,sui_m_es,sui_es,sui_m_mx,sui_h_mx,sui_mx
2017-03-01,1247.3,18.24,50.6,3.19,100.53195776577736,110.0784550392275,109.9044309296264,104.9342105263158,94.72,93.78,96.63,95.18,93.17,94.25,93.02,91.18,97.35,92.48,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-04-01,1266.1,17.19,49.33,3.28,102.0472314016281,103.74170187085095,107.14596003475239,107.89473684210526,94.84,94.38,96.81,95.19,93.81,95.15,92.94,91.29,97.35,92.94,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-05-01,1272.0,17.37,48.32,3.07,102.5227694043685,104.8280024140012,104.95221546481321,100.98684210526314,94.73,94.81,97.01,95.24,95.55,95.1,93.21,91.52,97.35,91.9,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-06-01,1240.7,16.57,46.04,3.04,100.0,100.0,100.0,100.0,94.96,95.25,97.22,95.3,95.64,95.14,93.17,91.78,97.36,91.35,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-07-01,1266.6,16.75,50.17,2.79,102.08753123236882,101.08630054315026,108.97046046915726,91.77631578947368,95.32,95.63,97.41,95.42,95.88,94.48,93.13,91.57,97.36,91.3,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-08-01,1316.2,17.48,47.23,3.04,106.08527444184735,105.49185274592638,102.58470894874021,100.0,95.79,95.99,97.61,96.58,96.31,94.67,93.01,91.68,97.37,92.04,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-09-01,1281.5,16.61,51.67,3.01,103.288466188442,100.24140012070006,112.22849695916595,99.01315789473684,96.09,96.16,97.77,98.87,95.23,94.84,93.25,91.76,97.5,92.61,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-10-01,1277.35,16.494999999999997,54.535,3.0199999999999996,102.9539775932941,99.54737477368737,118.45134665508252,99.34210526315788,96.7,96.36,97.96,98.87,97.21,95.71,94.38,93.04,97.99,92.6,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-11-01,1273.2,16.38,57.4,3.03,102.61948899814621,98.85334942667471,124.67419635099913,99.67105263157893,97.7,96.75,98.16,98.87,97.37,96.15,94.15,93.88,98.02,93.45,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-12-01,1306.3,17.06,60.42,2.95,105.28733779318127,102.95715147857574,131.23370981754996,97.03947368421053,98.27,97.25,98.34,98.87,97.77,96.19,94.1,94.03,98.03,93.59,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
